company,industry,change,year,rank,rq
Trader Joe's,Retail,NA,2017,NA,NA
HEB Grocery,Retail,NA,2017,NA,NA
Patagonia,Retail,NA,2017,NA,NA
The Hershey Company,Food & Beverage,NA,2017,NA,NA
Wegmans,Groceries,NA,2017,2,85.41
Samsung,Tech,NA,2017,49,67.55
Amazon.com,Ecommerce,NA,2017,1,86.27
Toyota Motor Corporation,Automotive,NA,2017,16,80.21
Honda Motor Company,Automotive,NA,2017,30,77.8
Sony,Tech,NA,2017,42,76.76
IBM,Tech,NA,2017,40,76.9
Tesla Motors,Automotive,NA,2017,9,81.7
Blue Cross Blue Shield Association,Healthcare,NA,2017,NA,NA
Berkshire Hathaway,Other,NA,2017,22,79.19
Microsoft,Tech,NA,2017,20,79.29
The Home Depot,Retail,NA,2017,44,75.5
UPS,Logistics,NA,2017,6,82.05
USAA,Financial Services,NA,2017,11,81.37
Publix Supermarkets,Groceries,NA,2017,3,82.78
Subaru,Automotive,NA,2017,NA,NA
Apple,Tech,NA,2017,5,82.07
Netflix,Tech,NA,2017,18,79.86
3M Company,Industrial,NA,2017,10,81.5
General Electric,Industrial,NA,2017,28,77.9
The Kroger Company,Groceries,NA,2017,21,79.2
Costco,Retail,NA,2017,14,81.14
LG Corporation,Tech,NA,2017,NA,NA
Chick-fil-A,Food & Beverage,NA,2017,25,78.52
Adidas,Retail,NA,2017,27,75.66
Walgreens,Retail,NA,2017,36,77.1
Google,Tech,NA,2017,8,82
Target,Retail,NA,2017,58,73.49
UnitedHealth Group,Healthcare,NA,2017,NA,NA
Lowe's,Retail,NA,2017,19,79.67
Unilever,Consumer Goods,NA,2017,NA,73.08
CVS (CVS Health),Retail,NA,2017,52,74.69
Procter & Gamble Co.,Consumer Goods,NA,2017,54,74.1
Dell,Tech,NA,2017,NA,73.4
FedEx Corporation,Logistics,NA,2017,23,78.99
The Kraft Heinz Company,Food & Beverage,NA,2017,NA,76.2
Ford Motor Company,Automotive,NA,2017,64,72.88
Nestle,Consumer Goods,NA,2017,27,78.06
Starbucks Corporation,Food & Beverage,NA,2017,55,74.07
Pfizer,Pharma,NA,2017,NA,69.54
Stellantis,Automotive,NA,2017,NA,NA
American Express,Financial Services,NA,2017,63,72.9
PepsiCo,Consumer Goods,NA,2017,53,74.34
JPMorgan Chase & Co.,Financial Services,NA,2017,80,67.07
Hobby Lobby,Retail,NA,2017,32,77.51
Best Buy,Retail,NA,2017,46,75.41
General Motors,Automotive,NA,2017,77,67.84
T-Mobile,Telecom,NA,2017,NA,NA
Yum! Brands,Food & Beverage,NA,2017,61,73.2
Nordstrom,Retail,NA,2017,45,75.49
State Farm Insurance,Financial Services,NA,2017,56,74.03
Nike,Retail,NA,2017,33,77.46
Progressive Corporation,Insurance,NA,2017,NA,72.7
The Coca-Cola Company,Food & Beverage,NA,2017,12,81.18
Spotify,Media,NA,2017,NA,NA
Citigroup,Financial Services,NA,2017,83,66.39
Kohl's,Retail,NA,2017,39,76.92
Royal Dutch Shell,Energy,NA,2017,79,75.17
Macy's,Retail,NA,2017,51,74.79
Wendy's,Food & Beverage,NA,2017,NA,NA
The Walt Disney Company,Media,NA,2017,7,82.04
Delta Air Lines,Airline,NA,2017,NA,69
Verizon Communications,Telecom,NA,2017,71,71.12
DoorDash,Food Delivery,NA,2017,41,76.79
"Electronic Arts, Inc.",Tech,NA,2017,NA,NA
Chipotle,Food & Beverage,NA,2017,84,66.36
AT&T,Telecom,NA,2017,75,68.42
Johnson & Johnson,Pharma,NA,2017,4,82.57
Robinhood,Tech,NA,2017,NA,NA
Dollar Tree,Retail,NA,2017,NA,70.38
Grubhub Inc.,Food Delivery,NA,2017,NA,NA
Big Lots,Retail,NA,2017,NA,NA
Walmart,Retail,NA,2017,76,67.96
Shein,Retail,NA,2017,NA,NA
Bank of America,Financial Services,NA,2017,95,59.69
Goldman Sachs,Financial Services,NA,2017,NA,56.3
Burger King,Food & Beverage,NA,2017,70,71.41
Spectrum,Telecom,NA,2017,NA,NA
eBay,Ecommerce,NA,2017,41,76.79
Subway,Food & Beverage,NA,2017,NA,NA
Comcast,Media,NA,2017,90,63.72
McDonald's,Food & Beverage,NA,2017,74,69.74
JCPenney,Retail,NA,2017,57,74
ExxonMobil,Energy,NA,2017,87,64.55
BP,Energy,NA,2017,89,63.99
My Pillow,Ecommerce,NA,2017,NA,NA
Uber,Tech,NA,2017,NA,72.13
Wells Fargo & Company,Financial Services,NA,2017,99,49.11
Sears Holdings Corporation,Retail,NA,2017,94,62.74
TikTok,Tech,NA,2017,NA,NA
Spirit Airlines,Airline,NA,2017,NA,NA
Fox Corporation,Media,NA,2017,NA,NA
Facebook,Tech,NA,2017,66,72.29
Twitter,Tech,NA,2017,NA,NA
Wish.com,Ecommerce,NA,2017,NA,NA
The Trump Organization,Other,NA,2017,NA,NA
Trader Joe's,Retail,NA,2018,NA,NA
HEB Grocery,Retail,NA,2018,NA,81.1
Patagonia,Retail,NA,2018,9,80.44
The Hershey Company,Food & Beverage,NA,2018,NA,NA
Wegmans,Groceries,0,2018,2,82.75
Samsung,Tech,-14,2018,35,70.1
Amazon.com,Ecommerce,0,2018,1,83.22
Toyota Motor Corporation,Automotive,26,2018,42,76.1
Honda Motor Company,Automotive,-11,2018,19,79.6
Sony,Tech,-11,2018,31,78.06
IBM,Tech,-8,2018,32,78.04
Tesla Motors,Automotive,-6,2018,3,81.96
Blue Cross Blue Shield Association,Healthcare,NA,2018,NA,NA
Berkshire Hathaway,Other,2,2018,24,78.97
Microsoft,Tech,-9,2018,11,80.42
The Home Depot,Retail,-18,2018,26,78.78
UPS,Logistics,1,2018,7,81.12
USAA,Financial Services,23,2018,34,77.78
Publix Supermarkets,Groceries,5,2018,8,80.81
Subaru,Automotive,NA,2018,NA,NA
Apple,Tech,24,2018,29,78.56
Netflix,Tech,3,2018,21,79.3
3M Company,Industrial,NA,2018,NA,81.34
General Electric,Industrial,24,2018,52,74.04
The Kroger Company,Groceries,-3,2018,18,79.67
Costco,Retail,3,2018,17,79.78
LG Corporation,Tech,NA,2018,NA,78.9
Chick-fil-A,Food & Beverage,-21,2018,4,81.68
Adidas,Retail,NA,2018,NA,NA
Walgreens,Retail,5,2018,41,76.12
Google,Tech,20,2018,28,78.6
Target,Retail,-9,2018,49,74.36
UnitedHealth Group,Healthcare,NA,2018,NA,NA
Lowe's,Retail,3,2018,22,79.27
Unilever,Consumer Goods,NA,2018,37,76.8
CVS (CVS Health),Retail,-5,2018,47,75.16
Procter & Gamble Co.,Consumer Goods,-34,2018,20,79.32
Dell,Tech,NA,2018,NA,77.3
FedEx Corporation,Logistics,NA,2018,NA,78.05
The Kraft Heinz Company,Food & Beverage,NA,2018,NA,80.2
Ford Motor Company,Automotive,-7,2018,57,72.66
Nestle,Consumer Goods,6,2018,33,77.9
Starbucks Corporation,Food & Beverage,-1,2018,54,73.94
Pfizer,Pharma,NA,2018,NA,71.09
Stellantis,Automotive,NA,2018,NA,NA
American Express,Financial Services,-13,2018,50,74.27
PepsiCo,Consumer Goods,-8,2018,45,75.39
JPMorgan Chase & Co.,Financial Services,-17,2018,63,70.82
Hobby Lobby,Retail,12,2018,44,75.45
Best Buy,Retail,0,2018,46,75.19
General Motors,Automotive,-13,2018,64,70.73
T-Mobile,Telecom,NA,2018,NA,NA
Yum! Brands,Food & Beverage,-8,2018,53,74.02
Nordstrom,Retail,10,2018,55,73.54
State Farm Insurance,Financial Services,NA,2018,NA,71.05
Nike,Retail,-21,2018,12,80.24
Progressive Corporation,Insurance,NA,2018,NA,73.2
The Coca-Cola Company,Food & Beverage,15,2018,27,78.77
Spotify,Media,NA,2018,NA,NA
Citigroup,Financial Services,-15,2018,68,69.62
Kohl's,Retail,-1,2018,38,76.65
Royal Dutch Shell,Energy,-13,2018,66,77.56
Macy's,Retail,7,2018,58,72.51
Wendy's,Food & Beverage,NA,2018,NA,74.08
The Walt Disney Company,Media,-2,2018,5,81.53
Delta Air Lines,Airline,NA,2018,NA,73.5
Verizon Communications,Telecom,-6,2018,65,70.32
DoorDash,Food Delivery,7,2018,48,75
"Electronic Arts, Inc.",Tech,NA,2018,NA,NA
Chipotle,Food & Beverage,-9,2018,75,67.69
AT&T,Telecom,-5,2018,70,68.31
